time,open,high,low,close,volume
2017-07-13 19:00:00,1.648,1.6969999999999998,1.605,1.665,62401.69871127
2017-07-13 20:00:00,1.665,1.699,1.6075,1.6947,60614.36759026
2017-07-13 21:00:00,1.6886,1.7,1.6401,1.6542,29075.82360861
2017-07-13 22:00:00,1.6704,1.72,1.6704,1.7168,43063.70149195
2017-07-13 23:00:00,1.7169,1.717,1.6317,1.6442,105760.62344808
2017-07-14 00:00:00,1.649,1.6781,1.5405,1.5671,161997.22952212
2017-07-14 01:00:00,1.5701,1.6,1.5490000000000002,1.5490000000000002,41915.51952144
2017-07-14 02:00:00,1.5490000000000002,1.5921,1.548,1.5743,45670.53794194
2017-07-14 03:00:00,1.5743,1.591,1.5557,1.5879,27412.39330412
2017-07-14 04:00:00,1.5811,1.652,1.581,1.6401,36614.23124579
2017-07-14 05:00:00,1.64,1.6719,1.6181,1.6679,52403.28891755
2017-07-14 06:00:00,1.6677,1.6980000000000002,1.6211,1.6809,28664.69338176
2017-07-14 07:00:00,1.6848,1.6980000000000002,1.66,1.6936,32987.64488747
2017-07-14 08:00:00,1.6931,1.6998,1.665,1.6828,32799.582460980004
2017-07-14 09:00:00,1.6832,1.7,1.6629,1.6719,18485.11325852
2017-07-14 10:00:00,1.6833,1.6976,1.66,1.66,14877.77339468
2017-07-14 11:00:00,1.67,1.6799,1.62,1.6228,22419.62517512
2017-07-14 12:00:00,1.6255,1.6389,1.54,1.54,85660.44618626
2017-07-14 13:00:00,1.54,1.578,1.5252,1.53,74434.75000221
2017-07-14 14:00:00,1.53,1.589,1.5,1.5656,154823.81208821
2017-07-14 15:00:00,1.5631,1.58,1.5044,1.5113,73372.07015715
2017-07-14 16:00:00,1.515,1.5598,1.46,1.48,230579.92645273
2017-07-14 17:00:00,1.48,1.5221,1.456,1.5219999999999998,46779.79923287
2017-07-14 18:00:00,1.5219999999999998,1.6099,1.5159,1.5415,119058.34053409
2017-07-14 19:00:00,1.5584,1.5584,1.516,1.536,34109.05381742
2017-07-14 20:00:00,1.5223,1.5502,1.4675,1.503,103888.93219748
2017-07-14 21:00:00,1.503,1.555,1.48,1.5206,90789.43784465
2017-07-14 22:00:00,1.5201,1.5205,1.4514,1.495,133428.06278112
2017-07-14 23:00:00,1.5155,1.5299,1.46,1.5189,110738.36562369
2017-07-15 00:00:00,1.519,1.5274,1.4838,1.5,7296.81397039
2017-07-15 01:00:00,1.5,1.5059,1.4501,1.4612,46759.34592592
2017-07-15 02:00:00,1.4604,1.4795,1.43,1.4379,36850.97038765
2017-07-15 03:00:00,1.4374,1.4795,1.3457,1.3998,323773.22621241
2017-07-15 04:00:00,1.4007,1.4543,1.31,1.43,382839.03365675
2017-07-15 05:00:00,1.43,1.4469,1.4044,1.422,56524.98679678
2017-07-15 06:00:00,1.4101,1.4416,1.3,1.4282,379725.84994337
2017-07-15 07:00:00,1.4282,1.4283,1.3801,1.402,27845.74808303
2017-07-15 08:00:00,1.4023,1.4267,1.3845,1.4072,57300.25368179
2017-07-15 09:00:00,1.4072,1.4405,1.4,1.405,38486.12449225
2017-07-15 10:00:00,1.4175,1.4793,1.4102,1.4482,70482.4935496
2017-07-15 11:00:00,1.4499,1.45,1.42,1.4227,25752.19888703
2017-07-15 12:00:00,1.4214,1.4228,1.341,1.366,72606.24434439
2017-07-15 13:00:00,1.3683,1.41,1.336,1.378,70554.67788954
2017-07-15 14:00:00,1.3546,1.3777,1.285,1.3241,146659.70108349
2017-07-15 15:00:00,1.3241,1.3558,1.29,1.3558,78389.3982763
2017-07-15 16:00:00,1.3558,1.43,1.3317,1.3883,168225.76584984
2017-07-15 17:00:00,1.3869,1.4095,1.3463,1.3998,64091.29832919
2017-07-15 18:00:00,1.3899,1.4185,1.3611,1.3993,47439.58658827
2017-07-15 19:00:00,1.3963,1.4079,1.3811,1.3901,16111.47148638
2017-07-15 20:00:00,1.3839,1.398,1.3278,1.35,40641.18177489
2017-07-15 21:00:00,1.3430000000000002,1.3719,1.31,1.3274,93651.20004149
2017-07-15 22:00:00,1.3266,1.334,1.2957,1.3102,151178.08945253
2017-07-15 23:00:00,1.3101,1.3315,1.2901,1.3,105444.26072225
2017-07-16 00:00:00,1.2947,1.297,1.25,1.28,77775.92115538
2017-07-16 01:00:00,1.28,1.32,1.26,1.2654,99761.28992991999
2017-07-16 02:00:00,1.2674,1.3294,1.26,1.3,174537.21360962
2017-07-16 03:00:00,1.3,1.3,1.29,1.29,113192.36588140001
2017-07-16 04:00:00,1.2967,1.297,1.254,1.2719,70584.60073805
2017-07-16 05:00:00,1.28,1.2855,1.254,1.2587,11975.99144252
2017-07-16 06:00:00,1.254,1.2695,1.2315,1.265,58923.132861670005
2017-07-16 07:00:00,1.265,1.269,1.2184,1.2399,96323.87205727
2017-07-16 08:00:00,1.2397,1.2794,1.231,1.255,165262.86993189
2017-07-16 09:00:00,1.255,1.256,1.21,1.24,61028.788784950004
2017-07-16 10:00:00,1.2377,1.2377,1.2122,1.2131,84590.90750158
2017-07-16 11:00:00,1.2189,1.23,1.1705,1.173,154463.72745227
2017-07-16 12:00:00,1.18,1.1918,1.1336,1.164,186890.65924054
2017-07-16 13:00:00,1.1609,1.226,1.15,1.21,173260.03955826
2017-07-16 14:00:00,1.2096,1.21,1.1763,1.186,73082.36197242
2017-07-16 15:00:00,1.1861,1.2284,1.186,1.2098,76591.92905167
2017-07-16 16:00:00,1.222,1.237,1.1853,1.237,56323.26030836
