Index,time,price,Pred_1h,Pred_4h,Pred_12h,Pred_24h,Pred_48h,Position_1h,Position_4h,Position_12h,Position_24h,Position_48h,Return_1h,Return_4h,Return_12h,Return_24h,Return_48h,Total_Return 1h,Total_Return_4h,Total_Return_12h,Total_Return_24h,Total_Return_48h,Unnamed: 23
97,23/05/2022 01:57:45,30259.57,-0.0259373372,-0.0346155408,-0.0014331247,-0.0076462674,-0.0302468504,-0.0082523475,-0.0082523475,-0.0082523475,-0.0082523475,-0.0082523475,,,,,,,,,,,
98,23/05/2022 02:57:18,30496.15,-0.0149610807,0.00139768,0.0062902116,-0.0235200711,-0.0555091516,-0.0081968234,0.0081968234,0.0081968234,-0.0081968234,-0.0081968234,,,,,,,,,,,
99,23/05/2022 03:57:19,30471.91,-0.0441533913,-0.0141082099,-0.0249528863,-0.031141772,-0.0486340879,-0.0082027672,-0.0082027672,-0.0082027672,-0.0082027672,-0.0082027672,,,,,,,,,,,
100,23/05/2022 04:57:19,30359.16,0.005463262,0.0343745138,-0.0130725689,-0.058083536,-0.0496585037,0.0082388638,0.0082388638,-0.0082388638,-0.0082388638,-0.0082388638,,,,,,,,,,,
101,23/05/2022 05:57:20,30436.78,-0.0039611802,-0.0244137022,-0.0297998421,-0.0282413954,-0.025188662,-0.0082101779,-0.0082101779,-0.0082101779,-0.0082101779,-0.0082101779,,,,,,,,,,,
102,23/05/2022 06:57:24,30444.81,-0.0084684136,0.0134785308,-0.0234291656,-0.0162137799,-0.1083212337,-0.0082087438,0.0082087438,-0.0082087438,-0.0082087438,-0.0082087438,,,,,,,,,,,
103,23/05/2022 07:57:22,30405.04,0.0453538502,-0.0434492705,-0.0150901697,0.0088892521,-0.0181085849,0.0082242983,-0.0082242983,-0.0082242983,0.0082242983,-0.0082242983,,,,,,,,,,,
104,23/05/2022 08:57:21,30386.0,-0.0168397913,0.0406456242,0.0183581752,-0.0296635734,-0.0425938783,-0.0082273351,0.0082273351,0.0082273351,-0.0082273351,-0.0082273351,,,,,,,,,,,
105,23/05/2022 09:57:24,30400.32,0.0262692708,-0.0488530487,0.0041771688,-0.0211602114,-0.0131347677,0.0082239439,-0.0082239439,0.0082239439,-0.0082239439,-0.0082239439,,,,,,,,,,,
106,23/05/2022 10:57:24,30218.29,0.0190028214,0.0451890644,0.0114504246,-0.0382798367,-0.0591118434,0.0082717803,0.0082717803,0.0082717803,-0.0082717803,-0.0082717803,,,,,,,,,,,
